company_name,registration_number
บริษัท ปตท จำกัด (มหาชน),0107544000108
บริษัท ซีพี ออลล์ จำกัด (มหาชน),0107537000882
บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน),0107546000491
บริษัท เซ็นทรัล รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),0107562000220
บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),0107536000145
บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),0107536000090
บริษัท กสท โทรคมนาคม จำกัด (มหาชน),0107546000215
บริษัท โทเทิ่ล แอ็คเซ็ส คอมมูนิเคชั่น จำกัด (มหาชน),0107537000458
บริษัท ธนาคารกรุงเทพ จำกัด (มหาชน),0107536000077
บริษัท ธนาคารกสิกรไทย จำกัด (มหาชน),0107536000085
บริษัท ธนาคารไทยพาณิชย์ จำกัด (มหาชน),0107536000068
บริษัท ธนาคารกรุงไทย จำกัด (มหาชน),0107536000093
บริษัท ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),0107536000108
บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),0107544000099
บริษัท บ้านปู จำกัด (มหาชน),0107536000073
บริษัท รัสเซีย-ไทย อิมปอร์ต เอ็กซ์ปอร์ต จำกัด,
บริษัท ไทยออยล์ จำกัด (มหาชน),0107544000116
บริษัท อิร์ปค จำกัด (มหาชน),0107537000490
บริษัท โรงแรมเซ็นทรัลพลาซา จำกัด (มหาชน),0107536000146
บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),0107536000112
บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),0107537000490
บริษัท กัลฟ์ เอ็นเนอร์จี ดีเวลลอปเมนท์ จำกัด (มหาชน),0107558000266
บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),0107537000519
บริษัท สยามพิวรรธน์ จำกัด,0105531006820
บริษัท เซ็นทรัล พัฒนา จำกัด (มหาชน),0107538000119
บริษัท โลจิสติกส์ โซลูชั่น จำกัด,
บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน),0107537000526
บริษัท ไออาร์พีซี จำกัด (มหาชน),0107537000490
บริษัท เอไอเอส จำกัด,
บริษัท ทรู คอร์ปอเรชั่น จำกัด (มหาชน),0107537000473
บริษัท เอ็มเค เรสโตรองต์ กรุ๊ป จำกัด (มหาชน),0107554000101
บริษัท ไมเนอร์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),0107537000475
บริษัท ออลซีซั่นส์ เอสเตท จำกัด (มหาชน),0107537000481
บริษัท เมเจอร์ ซีนีเพล็กซ์ กรุ้ป จำกัด (มหาชน),0107545000148
บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน),0107537000497
บริษัท โฮม โปรดักส์ เซ็นเตอร์ จำกัด (มหาชน),0107545000131
บริษัท โรบินสัน จำกัด (มหาชน),0107537000495
บริษัท สยามแม็คโคร จำกัด (มหาชน),0107534000132
บริษัท ห้างสรรพสินค้าเซ็นทรัล จำกัด,0105516010621
บริษัท เดอะมอลล์ กรุ๊ป จำกัด,0105531073010
บริษัท ไฟฟ้าราษฎร์อุปถัมภ์ จำกัด,
บริษัท การบินไทย จำกัด (มหาชน),0107517000089
บริษัท บางจากคอร์ปอเรชั่น จำกัด (มหาชน),0107536000148
บริษัท ไทย เอ็นวีดีอาร์ จำกัด,0105543029042
บริษัท สิงห์ คอร์เปอเรชั่น จำกัด,0105536017323
บริษัท ที.ซี.ซี. เทคโนโลยี จำกัด,0105543063561
บริษัท คิง เพาเวอร์ อินเตอร์เนชั่นแนล จำกัด,0105549012723
บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน),0107534000142
บริษัท ไทยวา จำกัด (มหาชน),0107537000501
บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),0107537000509
